Sample,Pedon_Lab_Sample,Layer_Seq,Lab_Sample,Designation,OC,N_tot,OM_Est,pH_SP,CEC_sum_of_cations,Bray_P,W33L2,W15L2
79-MT-0601_Ai,79-MT-0601,3,MT06013,Ai,2,0.162,3.44,7.6,12.3,5.8,16.1,10.3
79-MT-0601_B2t,79-MT-0601,5,MT06015,B2t,0.43,2.60E-02,0.7396,7.4,25,2.4,32.5,15
79-MT-0601_C1ca,79-MT-0601,6,MT06016,C1ca,0.56,3.70E-02,0.9632,7.9,30.5,3,33.3,15.4
79-MT-0601_C2ca,79-MT-0601,7,MT06017,C2ca,0.6,4.50E-02,1.032,8.1,29.4,1.4,45.1,19.2
79-MT-0602_Ai,79-MT-0602,1,MT06021,Ai,1.05,8.70E-02,1.806,6.1,11.6,0.6,12.7,6.2
79-MT-0602_B2t,79-MT-0602,2,MT06022,B2t,0.42,3.50E-02,0.7224,6.3,11.8,1,11,6.5
79-MT-0602_B3t,79-MT-0602,3,MT06023,B3t,0.23,1.80E-02,0.3956,6.6,11.5,0.3,15.6,9.1
79-MT-0602_C,79-MT-0602,4,MT06024,C,0.12,8.00E-03,0.2064,8,3.5,0.5,7.4,4.1
79-MT-1201_Ah1,79-MT-1201,1,MT12011,Ah1,4.77,0.32,8.2044,7.6,23.5,12.3,37.5,20.3
79-MT-1201_Ah2,79-MT-1201,2,MT12012,Ah2,4.99,0.25,8.5828,7.8,22.5,10.5,47.1,25.9
79-MT-1201_Cca,79-MT-1201,3,MT12013,Cca,1.39,7.30E-02,2.3908,8.5,15.1,4.7,37.1,22
79-MT-1501_B2ir,79-MT-1501,2,MT15012,B2ir,1.89,0.11,3.2508,5.7,8.2,1.4,42.3,11.5
79-MT-1501_IIB3,79-MT-1501,3,MT15013,IIB3,0.45,0.03,0.774,6,6.4,1.3,14.3,6.6
79-MT-1501_IIC,79-MT-1501,4,MT15014,IIC,0.29,1.20E-02,0.4988,5.9,7.2,1.3,10.1,5.7
79-MT-1502_B2ir,79-MT-1502,2,MT15022,B2ir,1.75,9.60E-02,3.01,5.8,12.6,1.1,42.3,12.2
79-MT-1502_IIC1,79-MT-1502,3,MT15023,IIC1,0.09,5.00E-03,0.1548,6.4,5.7,0.7,21,3.2
79-MT-1502_IIC2,79-MT-1502,4,MT15024,IIC2,0.15,6.00E-03,0.258,6.2,13.9,0.7,20.4,3.1
79-MT-1503_B2ir,79-MT-1503,3,MT15033,B2ir,2.72,0.115,4.6784,5.1,6.6,1.3,25.6,10.4
79-MT-1503_IIC1,79-MT-1503,4,MT15034,IIC1,0.23,1.60E-02,0.3956,5.1,3.4,0.7,11.8,3.9
79-MT-1504_A1,79-MT-1504,2,MT15042,A1,2.31,8.70E-02,3.9732,6.1,17.5,5.3,39.8,14.2
79-MT-1504_B2ir,79-MT-1504,3,MT15043,B2ir,1.3,6.40E-02,2.236,6.2,17.5,2.7,40.2,11.8
79-MT-1504_IIC1,79-MT-1504,4,MT15044,IIC1,0.48,3.10E-02,0.8256,6.1,9.5,1.2,20.6,5.4
79-MT-1504_IIC2,79-MT-1504,5,MT15045,IIC2,0.48,2.50E-02,0.8256,6.1,12.8,1.1,20.5,6.3
79-MT-1505_A2,79-MT-1505,2,MT15052,A2,NA,NA,0,NA,0,NA,NA,NA
79-MT-1505_B2ir,79-MT-1505,3,MT15053,B2ir,1.55,7.90E-02,2.666,5.7,8.6,1.6,29.6,7
79-MT-1505_IIB3,79-MT-1505,4,MT15054,IIB3,0.51,3.40E-02,0.8772,5.5,2.4,1.3,19.7,3.8
79-MT-1505_IIC1,79-MT-1505,5,MT15055,IIC1,0.16,1.70E-02,0.2752,5.4,2.9,0.7,17.5,3.8
79-MT-1506_A2,79-MT-1506,2,MT15062,A2,NA,NA,0,NA,0,NA,NA,NA
79-MT-1506_B2ir,79-MT-1506,3,MT15063,B2ir,1.4,8.60E-02,2.408,5.9,6.7,2.1,36.1,10.2
